antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'42608'}),frozenset({'32604'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
frozenset({'32604'}),frozenset({'42608'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
frozenset({'42607'}),frozenset({'42608'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
frozenset({'42608'}),frozenset({'42607'}),0.2749877282960104,0.2749877282960104,0.2749877282960104,1.0,3.636525914071156,0.19936947758260998,inf,1.0000000000000002
frozenset({'32307'}),frozenset({'42307'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
frozenset({'42307'}),frozenset({'32307'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
frozenset({'32307'}),frozenset({'42308'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
frozenset({'42308'}),frozenset({'32307'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
frozenset({'42307'}),frozenset({'42308'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
frozenset({'42308'}),frozenset({'42307'}),0.2530002200443474,0.2530002200443474,0.2530002200443474,1.0,3.952565732253964,0.1889911087018592,inf,1.0
"frozenset({'31423', '41428'})",frozenset({'41427'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'41428', '41427'})",frozenset({'31423'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'31423', '41427'})",frozenset({'41428'}),0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
frozenset({'41428'}),"frozenset({'31423', '41427'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
frozenset({'31423'}),"frozenset({'41428', '41427'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
frozenset({'41427'}),"frozenset({'31423', '41428'})",0.3028656544626686,0.3028656544626686,0.3028656544626686,1.0,3.3017939976527138,0.21113804980956802,inf,1.0
"frozenset({'49006', '31423'})",frozenset({'41427'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'49006', '41427'})",frozenset({'31423'}),0.3028318014861457,0.3028656544626686,0.3028318014861457,1.0,3.3017939976527138,0.21111444973693522,inf,0.9999514421676218
"frozenset({'31423', '41427'})",frozenset({'49006'}),0.3028656544626686,0.999932294046954,0.3028318014861457,0.999888224445314,0.9999559274143835,-1.3347168742627868e-05,0.6057313089266128,-6.321843422915441e-05
